38,24
37,24
37,24
38,27
37,24
38,26
38,25
36,23
36,22
37,24
38,29
37,25
37,24
36,23
37,26
38,24
37,24
36,22
37,25
37,26
37,25
38,26
37,24
37,25
37,24
38,27
37,24
38,25
37,24
38,27
37,25
37,24
38,26
37,24
38,25
39,27
37,24
37,24
37,26
37,24
37,25
37,24
37,25
37,23
38,29
36,23
39,29
36,23
39,32
37,24
38,26
37,24
36,23
36,23
36,23
38,26
37,24
37,25
38,26
38,26
37,23
38,24
37,23
38,29
39,31
39,35
37,27
38,26
38,28
37,25
37,24
37,24
37,25
38,27
36,23
38,27
38,26
37,23
36,23
36,24
38,27
37,26
37,23
37,26
38,27
37,23
36,23
38,27
38,27
39,29
37,24
37,24
38,26
36,23
37,27
36,23
36,23
38,25
37,24
37,27
37,25
38,27
37,24
35,22
37,24
37,24
37,24
37,25
36,23
38,26
39,33
37,25
37,23
38,28
37,25
37,24
37,24
36,24
37,23
37,25
36,23
37,24
37,25
36,23
36,24
37,24
39,30
39,28
36,24
38,28
39,30
38,31
37,24
37,24
36,24
37,24
37,26
37,24
38,27
37,25
37,25
37,24
37,25
38,28
36,23
38,26
37,25
37,24
38,25
38,28
37,25
36,23
37,25
37,25
39,29
38,26
37,24
36,24
37,25
36,23
38,27
37,24
37,24
40,32
36,23
37,24
37,23
39,30
37,25
39,28
37,25
38,24
37,24
39,29
38,25
39,28
39,30
37,24
37,24
37,24
37,25
36,22
36,22
37,25
40,37
35,22
38,27
36,23
37,24
38,28
40,32
38,26
38,26
38,26
38,28
38,25
37,25
38,27
39,32
37,24
38,27
38,25
38,25
35,22
37,25
37,25
38,25
38,28
35,22
40,36
38,28
37,24
38,29
37,26
36,24
37,24
37,23
37,24
37,24
38,28
38,25
37,24
38,25
40,31
39,30
37,24
39,29
38,25
36,23
37,25
36,23
37,23
37,26
38,25
37,23
37,24
40,37
36,22
37,23
37,25
39,31
36,23
36,23
36,23
36,23
36,23
38,27
38,27
36,23
37,24
37,24
37,24
36,24
36,24
38,26
37,23
38,25
38,24
38,26
37,24
38,26
38,26
37,23
37,24
37,25
38,26
39,29
37,27
38,27
37,24
37,25
37,23
36,23
37,26
38,27
39,31
37,25
38,26
39,34
37,24
37,24
37,25
38,28
36,23
38,25
38,29
37,25
36,24
37,24
38,28
37,25
39,29
37,25
38,25
37,25
37,24
37,23
39,32
39,33
36,23
37,24
37,23
37,25
36,23
38,26
38,29
36,24
37,24
38,25
38,25
37,26
37,24
38,27
37,25
37,24
37,26
36,22
37,24
37,25
36,23
38,28
38,27
36,23
37,24
38,26
36,24
37,25
37,25
37,25
38,25
38,25
38,27
38,29
37,24
37,25
37,26
38,26
37,23
37,24
37,24
37,24
37,26
38,25
38,28
39,31
37,24
37,23
37,23
37,24
36,22
37,25
38,26
37,24
38,27
37,24
38,28
39,29
36,23
37,23
37,24
37,23
37,25
37,22
36,24
36,23
36,24
38,28
37,25
38,26
37,23
38,26
39,31
37,24
38,28
37,25
37,25
37,24
37,27
37,24
38,26
37,24
36,24
37,24
37,24
38,27
38,26
38,25
37,24
38,27
38,26
37,24
38,25
38,29
37,24
37,24
37,25
39,32
37,24
36,24
38,25
37,24
38,27
37,24
38,25
37,24
36,23
37,24
36,23
37,24
37,25
38,26
37,25
38,26
37,23
38,25
37,25
38,28
37,25
37,24
36,24
37,24
36,24
35,21
34,21
34,23
34,22
34,20
34,23
33,20
33,20
34,22
33,20
33,21
33,22
35,26
33,20
33,21
33,20
34,22
33,21
34,22
33,21
33,20
33,20
33,20
36,30
33,21
34,21
34,21
33,20
34,21
33,19
34,20
33,19
33,20
34,21
33,21
32,19
33,20
